name,command
hepafiltermonitoring,command-by-id
hepafiltermonitoring,reset-condition
hepafiltermonitoring,read-by-id
hepafiltermonitoring,read
hepafiltermonitoring,write-by-id
hepafiltermonitoring,force-write
hepafiltermonitoring,write
hepafiltermonitoring,subscribe-by-id
hepafiltermonitoring,subscribe
hepafiltermonitoring,read-event-by-id
hepafiltermonitoring,subscribe-event-by-id
icdmanagement,command-by-id
icdmanagement,register-client
icdmanagement,unregister-client
icdmanagement,stay-active-request
icdmanagement,read-by-id
icdmanagement,read
icdmanagement,write-by-id
icdmanagement,force-write
icdmanagement,subscribe-by-id
icdmanagement,subscribe
icdmanagement,read-event-by-id
icdmanagement,subscribe-event-by-id
identify,command-by-id
identify,identify
identify,trigger-effect
identify,read-by-id
identify,read
identify,write-by-id
identify,write
identify,force-write
identify,subscribe-by-id
identify,subscribe
identify,read-event-by-id
identify,subscribe-event-by-id
illuminancemeasurement,command-by-id
illuminancemeasurement,read-by-id
illuminancemeasurement,read
illuminancemeasurement,write-by-id
illuminancemeasurement,force-write
illuminancemeasurement,subscribe-by-id
illuminancemeasurement,subscribe
illuminancemeasurement,read-event-by-id
illuminancemeasurement,subscribe-event-by-id
keypadinput,command-by-id
keypadinput,send-key
keypadinput,read-by-id
keypadinput,read
keypadinput,write-by-id
keypadinput,force-write
keypadinput,subscribe-by-id
keypadinput,subscribe
keypadinput,read-event-by-id
keypadinput,subscribe-event-by-id
laundrydryercontrols,command-by-id
laundrydryercontrols,read-by-id
laundrydryercontrols,read
laundrydryercontrols,write-by-id
laundrydryercontrols,force-write
laundrydryercontrols,write
laundrydryercontrols,subscribe-by-id
laundrydryercontrols,subscribe
laundrydryercontrols,read-event-by-id
laundrydryercontrols,subscribe-event-by-id
laundrywashercontrols,command-by-id
laundrywashercontrols,read-by-id
laundrywashercontrols,read
laundrywashercontrols,write-by-id
laundrywashercontrols,force-write
laundrywashercontrols,write
laundrywashercontrols,subscribe-by-id
laundrywashercontrols,subscribe
laundrywashercontrols,read-event-by-id
laundrywashercontrols,subscribe-event-by-id
laundrywashermode,command-by-id
laundrywashermode,change-to-mode
laundrywashermode,read-by-id
laundrywashermode,read
laundrywashermode,write-by-id
laundrywashermode,force-write
laundrywashermode,write
laundrywashermode,subscribe-by-id
laundrywashermode,subscribe
laundrywashermode,read-event-by-id
laundrywashermode,subscribe-event-by-id
levelcontrol,command-by-id
levelcontrol,move-to-level
levelcontrol,move
levelcontrol,step
levelcontrol,stop
levelcontrol,move-to-level-with-on-off
levelcontrol,move-with-on-off
levelcontrol,step-with-on-off
levelcontrol,stop-with-on-off
levelcontrol,move-to-closest-frequency
levelcontrol,read-by-id
levelcontrol,read
levelcontrol,write-by-id
levelcontrol,force-write
levelcontrol,write
levelcontrol,subscribe-by-id
levelcontrol,subscribe
levelcontrol,read-event-by-id
levelcontrol,subscribe-event-by-id
localizationconfiguration,command-by-id
localizationconfiguration,read-by-id
localizationconfiguration,read
localizationconfiguration,write-by-id
localizationconfiguration,write
localizationconfiguration,force-write
localizationconfiguration,subscribe-by-id
localizationconfiguration,subscribe
localizationconfiguration,read-event-by-id
localizationconfiguration,subscribe-event-by-id
lowpower,command-by-id
lowpower,sleep
lowpower,read-by-id
lowpower,read
lowpower,write-by-id
lowpower,force-write
lowpower,subscribe-by-id
lowpower,subscribe
lowpower,read-event-by-id
lowpower,subscribe-event-by-id
mediainput,command-by-id
mediainput,select-input
mediainput,show-input-status
mediainput,hide-input-status
mediainput,rename-input
mediainput,read-by-id
mediainput,read
mediainput,write-by-id
mediainput,force-write
mediainput,subscribe-by-id
mediainput,subscribe
mediainput,read-event-by-id
mediainput,subscribe-event-by-id
mediaplayback,command-by-id
mediaplayback,play
mediaplayback,pause
mediaplayback,stop
mediaplayback,start-over
mediaplayback,previous
mediaplayback,next
mediaplayback,rewind
mediaplayback,fast-forward
mediaplayback,skip-forward
mediaplayback,skip-backward
mediaplayback,seek
mediaplayback,activate-audio-track
mediaplayback,activate-text-track
mediaplayback,deactivate-text-track
mediaplayback,read-by-id
mediaplayback,read
mediaplayback,write-by-id
mediaplayback,force-write
mediaplayback,subscribe-by-id
mediaplayback,subscribe
mediaplayback,read-event-by-id
mediaplayback,read-event
mediaplayback,subscribe-event-by-id
mediaplayback,subscribe-event
messages,command-by-id
messages,present-messages-request
messages,cancel-messages-request
messages,read-by-id
messages,read
messages,write-by-id
messages,force-write
messages,subscribe-by-id
messages,subscribe
messages,read-event-by-id
messages,read-event
messages,subscribe-event-by-id
messages,subscribe-event
microwaveovencontrol,command-by-id
microwaveovencontrol,set-cooking-parameters
microwaveovencontrol,add-more-time
microwaveovencontrol,read-by-id
microwaveovencontrol,read
microwaveovencontrol,write-by-id
microwaveovencontrol,force-write
microwaveovencontrol,subscribe-by-id
microwaveovencontrol,subscribe
microwaveovencontrol,read-event-by-id
microwaveovencontrol,subscribe-event-by-id
microwaveovenmode,command-by-id
microwaveovenmode,read-by-id
microwaveovenmode,read
microwaveovenmode,write-by-id
microwaveovenmode,force-write
microwaveovenmode,subscribe-by-id
microwaveovenmode,subscribe
microwaveovenmode,read-event-by-id
microwaveovenmode,subscribe-event-by-id
modeselect,command-by-id
modeselect,change-to-mode
modeselect,read-by-id
modeselect,read
modeselect,write-by-id
modeselect,force-write
modeselect,write
modeselect,subscribe-by-id
modeselect,subscribe
modeselect,read-event-by-id
modeselect,subscribe-event-by-id
networkcommissioning,command-by-id
networkcommissioning,scan-networks
networkcommissioning,add-or-update-wi-fi-network
networkcommissioning,add-or-update-thread-network
networkcommissioning,remove-network
networkcommissioning,connect-network
networkcommissioning,reorder-network
networkcommissioning,query-identity
networkcommissioning,read-by-id
networkcommissioning,read
networkcommissioning,write-by-id
networkcommissioning,force-write
networkcommissioning,write
networkcommissioning,subscribe-by-id
networkcommissioning,subscribe
networkcommissioning,read-event-by-id
networkcommissioning,subscribe-event-by-id
nitrogendioxideconcentrationmeasurement,command-by-id
nitrogendioxideconcentrationmeasurement,read-by-id
nitrogendioxideconcentrationmeasurement,read
nitrogendioxideconcentrationmeasurement,write-by-id
nitrogendioxideconcentrationmeasurement,force-write
nitrogendioxideconcentrationmeasurement,subscribe-by-id
nitrogendioxideconcentrationmeasurement,subscribe
nitrogendioxideconcentrationmeasurement,read-event-by-id
nitrogendioxideconcentrationmeasurement,subscribe-event-by-id
occupancysensing,command-by-id
occupancysensing,read-by-id
occupancysensing,read
occupancysensing,write-by-id
occupancysensing,force-write
occupancysensing,write
occupancysensing,subscribe-by-id
occupancysensing,subscribe
occupancysensing,read-event-by-id
occupancysensing,subscribe-event-by-id
onoff,command-by-id
onoff,off
onoff,on
onoff,toggle
onoff,off-with-effect
onoff,on-with-recall-global-scene
onoff,on-with-timed-off
onoff,read-by-id
onoff,read
onoff,write-by-id
onoff,force-write
onoff,write
onoff,subscribe-by-id
onoff,subscribe
onoff,read-event-by-id
onoff,subscribe-event-by-id
onoffswitchconfiguration,command-by-id
onoffswitchconfiguration,read-by-id
onoffswitchconfiguration,read
onoffswitchconfiguration,write-by-id
onoffswitchconfiguration,force-write
onoffswitchconfiguration,write
onoffswitchconfiguration,subscribe-by-id
onoffswitchconfiguration,subscribe
onoffswitchconfiguration,read-event-by-id
onoffswitchconfiguration,subscribe-event-by-id
operationalcredentials,command-by-id
operationalcredentials,attestation-request
operationalcredentials,certificate-chain-request
operationalcredentials,csrrequest
operationalcredentials,add-noc
operationalcredentials,update-noc
